&{553485880 AWP | 野火 (久经沙场) 319}
&{863718295579521024 AK-47 | 墨岩 (破损不堪) 19.97}
&{958581986278871040 M4A1 消音型 | 夜无眠 (战痕累累) 16.96}
&{553486501 迈克·赛弗斯 | 联邦调查局（FBI）狙击手 13.6}
&{958664125713473536 AK-47 | 夜愿 (久经沙场) 127.58}
&{553479252 AWP | 冥界之河 (崭新出厂) 21.99}
&{74732655 刺刀（★） | 自动化 (久经沙场) 2800}
&{23356 沙漠之鹰 | 阴谋者 (略有磨损) 32.1}
&{24418 P2000 | 火灵 (崭新出厂) 97.9}
&{24433 M4A1 消音型 | 暴怒野兽 (崭新出厂) 578.38}
&{914665027680571392 化学防害上尉| 法国宪兵特勤队 27.89}
&{553466059 九头蛇手套（★） | 响尾蛇 (久经沙场) 313.4}
&{295893120 M4A1 消音型 | 闪回 (崭新出厂) 19.99}
&{22975 AK-47 | 荒野反叛 (久经沙场) 143.4}
&{995852424007929856 印花 | Xyp9x（全息） | 2022年安特卫普锦标赛 11.49}
&{22515 M4A1 消音型 | 次时代 (久经沙场) 83.41}
&{1228297 M4A1 消音型 | 女火神之炽焰 (破损不堪) 98.97}
&{24794 蝴蝶刀（★） | 都市伪装 (久经沙场) 3540}
&{553479528 折刀（★） | 狩猎网格 (略有磨损) 500}
&{553482658 锯齿爪刀（★） | 多普勒 (崭新出厂) 4189}
&{2643165 M4A4 | 死寂空间 (略有磨损) 59.58}
&{553403908 弯刀（★） | 多普勒 (崭新出厂) 1600}
&{23980 AK-47 | 翡翠细条纹 (崭新出厂) 102.2}
&{25812 刺刀（★） | 外表生锈 (战痕累累) 1440}
&{22345 M4A4 | 杀意大名 (略有磨损) 16.7}
&{22697 “突围大行动”武器箱 25}
&{24119 沙漠之鹰 | 午夜风暴 (崭新出厂) 136.15}
&{1228164 M4A1 消音型 | 机械工业 (久经沙场) 126.66}
&{553465900 M4A4 | 黑色魅影 (崭新出厂) 235}
&{25275 折叠刀（★） | 屠夫 (略有磨损) 2027.5}
&{1017277237951025152 M249 | 闹市区 (崭新出厂) 16.41}
&{863600625674440704 USP 消音版 | 倒吊人 (略有磨损) 131.9}
&{553485775 海豹短刀（★） | 都市伪装 (久经沙场) 713.93}
&{23244 沙漠之鹰 | 深红之网 (略有磨损) 124.6}
&{22798 印花 | Maikelele | 2015年科隆锦标赛 110.2}
&{24505 AUG | 变色龙 (战痕累累) 58.4}
&{27503 印花 | Virtus.Pro（闪亮）| 2016年 MLG 哥伦布锦标赛 86.5}
&{22553 AWP | 二西莫夫 (战痕累累) 408.5}
&{22512 AK-47 | 前线迷雾 (久经沙场) 79.4}
&{553481833 印花 | ALEX（闪亮）| 2019年卡托维兹锦标赛 126.8}
&{2814537 印花 | RUSH | 2016年科隆锦标赛 58.48}
&{23991 P90 | 三角 (战痕累累) 59.6}
&{348014105 SSG 08 | 炎龙之焰 (略有磨损) 86.75}
&{22549 AWP | 红线 (久经沙场) 206.2}
&{808803559572504576 残酷的达里尔爵士（头盖骨）| 专业人士 84.4}
&{553465826 M4A4 | 黑色魅影 (略有磨损) 79.6}
&{553370783 M4A1 消音型 | 毁灭者 2000 (略有磨损) 81.9}
&{925504922578665472 布章 | FURIA （金色） | 2021年斯德哥尔摩锦标赛 59.2}
&{553482639 M4A4 | 皇帝 (崭新出厂) 982.7}
&{24377 折叠刀（★） | 都市伪装 (久经沙场) 846.5}
&{553486502 “两次”麦考伊 | 美国空军战术空中管制部队 12.22}
&{914665027831566336 残酷的达里尔（穷鬼）| 专业人士 68.75}
&{914678469850648576 准尉 | 法国宪兵特勤队 14.09}
