M4A1 消音型 | 黑水 (略有磨损):0.09828009828009827:447:407:0
血猎手套（★） | 染铜 (久经沙场):0.07747619047619053:452.54:420:0
加利尔 AR | ~甜甜的~ (崭新出厂):0.07530158730158738:338.72:315:0
AK-47 | 巴洛克之紫 (崭新出厂):0.09375:70:64:0
M4A4 | 星级 (略有磨损):0.16122580645161297:179.99:155:0
M4A4 | 战场之星 (略有磨损):0.060755813953488474:36.49:34.4:0
USP 消音版 | 黑莲花 (崭新出厂):0.18932038834951448:24.5:20.6:0
暗影双匕（★） | 伽玛多普勒 (崭新出厂):0.07312049433573635:1042:971:0
SG 553 | 红苹果 (略有磨损):0.15384615384615385:30:26:0
SG 553 | 沙漠之花 (略有磨损):0.10149253731343279:36.9:33.5:0
MP9 | 九头蛇 (久经沙场):0.10034602076124575:31.8:28.9:0
AK-47 | 红色层压板 (略有磨损):0.0982083333333333:263.57:240:0
黑山基地胸章:0.09999999999999995:31.9:29:0
MP9 | 九头蛇 (崭新出厂):0.19230769230769232:77.5:65:0
P250 | 生化短吻鳄 (崭新出厂):0.10774193548387108:68.68:62:0
格洛克 18 型 | 伽玛多普勒 (崭新出厂):0.06523364485981312:113.98:107:0
AUG | 午夜百合 (崭新出厂):0.15328964167163153:1355:1174.9:0
格洛克 18 型 | 富兰克林 (崭新出厂):0.1339393939393939:187.1:165:0
双持贝瑞塔 | 双涡轮 (久经沙场):0.06724657075945126:31.9:29.89:0
加利尔 AR | 渐变琥珀 (崭新出厂):0.09000000000000008:34.88:32:0
MAG-7 | 海鸟 (崭新出厂):0.12083333333333328:26.9:24:0
SG 553 | 红苹果 (崭新出厂):0.15789473684210525:33:28.5:0
AUG | 极地孤狼 (崭新出厂):0.07323943661971835:38.1:35.5:0
双持贝瑞塔 | 翡翠色调 (崭新出厂):0.0854545454545455:119.4:110:0
P250 | 葡萄酒 (崭新出厂):0.10769230769230764:64.8:58.5:0
裹手（★） | 屠夫 (久经沙场):0.07174754391187854:1800:1679.5:0
斯德哥尔摩 2021 炙热沙城 II 纪念包:0.10418830044998262:31.9:28.89:0
M4A1 消音型 | 原子合金 (崭新出厂):0.08671855996107998:357.4:328.88:0
遗忘者克拉斯沃特 | 游击队:0.0893935038804254:37.9:34.79:0
双持贝瑞塔 | 天秤之月 (略有磨损):0.12000000000000005:33.6:30:0
音乐盒 | Proxy - 万夫莫敌包:0.13333333333333333:34:30:0
FN57 | 暴怒野兽 (崭新出厂):0.11275000000000006:445.1:400:0
SSG 08 | 喋血战士 (久经沙场):0.06578947368421052:40.5:38:0
M4A4 | 渐变斑纹 (略有磨损):0.2:25:30:0
AK-47 | 绿色层压板 (久经沙场):0.13885480572597136:55.69:48.9:0
布章 | 生命值:0.06666666666666674:188.8:177:0
MAG-7 | 正义 (崭新出厂):0.06940063091482648:67.8:63.4:0
SCAR-20 | 翡翠色调 (崭新出厂):0.14846153846153856:149.3:130:0
加利尔 AR | 渐变琥珀 (略有磨损):0.11838006230529585:35.9:32.1:0
短剑（★） | 致命紫罗兰 (略有磨损):0.0831157286515917:1949.5:1799.9:0
MAG-7 | 坚固链甲 (崭新出厂):0.18452380952380953:99.5:84:0
AK-47 | 安全网 (略有磨损):0.12475000000000006:44.99:40:0
SG 553 | 沙漠之花 (崭新出厂):0.08069164265129675:37.5:34.7:0
M4A4 | 弹雨 (略有磨损):0.12995215311004782:118.08:104.5:0
P250 | 潜藏者 (崭新出厂):0.09062499999999996:34.9:32:0
音乐盒 | Laura Shigihara - 好好干，好好活:0.10549589387239418:35:31.66:0
沙漠之鹰 | 纳迦蛇神 (崭新出厂):0.12121212121212122:33:37:0
SSG 08 | 侦测 (崭新出厂):0.10502442428471744:31.67:28.66:0
AK-47 | 丛林涂装 (略有磨损):0.07349999999999994:85.88:80:0
摩托手套（★） | 交运 (略有磨损):0.11273584905660378:1179.5:1060:0
MP7 | 复仇者 (崭新出厂):0.07576456124173978:65.07:70:0
XM1014 | 焚烬之鳄 (略有磨损):0.07936507936507936:68:63:0
法玛斯 | 灯神 (略有磨损):0.18421052631578944:27:22.8:0
新星 | 樱花之绚烂 (崭新出厂):0.17994100294985252:400:339:0
短剑（★） | 森林 DDPAT (久经沙场):0.1024390243902439:1130:1025:0
2018年波士顿锦标赛传奇亲笔签名胶囊:0.09301328761251615:76.5:69.99:0
死亡游乐园胸章:0.08633333333333344:32.59:30:0
P2000 | 至尊威龙 (久经沙场):0.10909090909090903:24.4:22:0
核子危机胸章:0.14035087719298237:34.2:39:0
UMP-45 | 金铋辉煌 (崭新出厂):0.11083333333333334:26.66:24:0
短剑（★） | 大马士革钢 (久经沙场):0.0650887573964497:1800:1690:0
暗影双匕（★） | 致命紫罗兰 (略有磨损):0.15625:740:640:0
SG 553 | 次时代 (崭新出厂):0.08254716981132076:91.8:84.8:0
P250 | 翼击 (崭新出厂):0.06726457399103139:23.8:22.3:0
AUG | 汪之萌杀 (崭新出厂):0.08793103448275864:63.1:58:0
幻彩胸章:0.1903571428571428:99.99:84:0
加利尔 AR | 地狱看门犬 (久经沙场):0.14114285714285707:79.88:70:0
17号城市胸章:0.15608695652173912:26.59:23:0
AK-47 | 绿色层压板 (略有磨损):0.07692307692307693:56:52:0
格洛克 18 型 | 黄铜 (崭新出厂):0.1827956989247312:220:186:0
FN57 | 狩猎利器 (略有磨损):0.07851596203623815:23.18:25:0
加利尔 AR | 凤凰冥灯 (久经沙场):0.10726643598615918:160:144.5:0
AUG | 孟加拉猛虎 (久经沙场):0.09523809523809523:23:21:0
StatTrak™ 激进音乐集:0.08280000000000001:54.14:50:0
MP5-SD | 磷光体 (略有磨损):0.10964285714285715:31.07:28:0
音乐盒 | Skog - II-爆头:0.07142857142857142:30:28:0
XM1014 | 宁静 (崭新出厂):0.07679487179487172:83.99:78:0
P2000 | 绝命密电 (略有磨损):0.08135593220338978:31.9:29.5:0
音乐盒 | Midnight Riders - 圣诞之欲:0.1036363636363637:30.35:27.5:0
FN57 | 热火朝天 (崭新出厂):0.19519999999999996:29.88:25:0
音乐盒 | Austin Wintory - 沙漠之焰:0.06666666666666667:30:32:0
