UMP-45 | 动量 (崭新出厂):0.10291401:59.8:54.22
M4A4 | 齿 仙 (崭新出厂):0.089743644:75.65:69.42
格洛克 18 型 | 核子反应 (崭新出厂):0.15511554:140:121.2
反恐精英 3 号武器箱:0.15142302:53:46.03
M4A4 | 弹雨 (崭新出厂):0.101928376:400:363
M4A4 | 沙漠精英 (崭新出厂):0.15217009:65.57:56.91
2 号印花胶囊:0.102469176:178.6:162
安特卫普 2022 荒漠迷城纪念包:0.15478556:34.99:30.3
P2000 | 渐变琥珀 (略有磨损):0.1876076:69:58.1
MAC-10 | 渐变迪斯科 (崭新出厂):0.088077694:117.73:108.2
格洛克 18 型 | 核子反应 (略有磨损):0.15900771:57:49.18
SG 553 | 红苹果 (崭新出厂):0.16150995:37.54:32.32
印花 | λ（全息）:0.19313306:27.8:23.3
反恐精英 2 号武器箱:0.11288513:69.7:62.63
猎杀者武器箱:0.16138758:61.6:53.04
